Simulation,BST0_Success,BST0_Fail,BSTS_Success,BSTS_Fail
1,386022,403518,335143,353322
2,197123,209116,173026,184913
3,202461,214823,188692,200074
4,326707,343987,295207,312177
5,177934,188047,164709,174153
6,166399,175594,149404,158575
7,201617,212946,168820,179854
8,329011,344919,316286,334104
9,229301,242135,200909,212706
10,299864,313894,258334,273648
11,246123,259614,224065,238039
12,174342,185149,159292,168904
13,183203,194319,175759,185167
14,211750,223700,186307,198164
15,269568,284819,260715,275255
16,227784,240991,196487,208237
17,249523,261107,215466,227723
18,299703,314738,269735,285780
19,265253,279540,251202,264194
20,323632,339306,296347,313921